Price,Headline,Address,Owner,Bedrooms,Bathrooms,Balconies,Super area,Price Per sqft,Status,Transaction type,Floor,Car parking,Furnished,Lifts,Descrption,Price breakup,Address2,Landmarks,Age of Construction,Price comparison,Expected rent,Monthly EMI
45.6 Lac,2 BHK 909 Sq-ft Flat for Sale in HBR Layout,"for sale in HBR Layout, Bangalore",Rebin,2,2,NA,909 sqft,"5,017/sqft",NA,New Property,2 (Out of 4 Floors),None,Unfurnished,NA,NA,"45.6 Lac ₹ 2,55,359 Approx. Registration Charges
See Other Charges","5th block, HBR Layout, Bangalore - North, Karnataka",Reliance Fresh,Under Construction,NA,NA,NA
45.8 Lac,2 BHK 1065 Sq-ft Flat for Sale in Varthur,"for sale in Varthur, Bangalore",Amit,2 See Dimensions,2,2,1065 sqft,"4,300/sqft",No/Rare Powercut,New Property,1 (Out of 3 Floors),1 Covered,Unfurnished,NA,"SJ Trillium is engineered by internationally renowned architects of SJ Constructions Bangalore. The Group has been involved in producing various residential and commercial projects with beautifully crafted interiors as well as exteriors.SJ Trillium comprises of 2 BHK and 3 BHK Apartments with CC, OC & RERA Approved. The Apartments are spacious, well ventilated and Vastu compliant. Located at Varthur Sub Rigistrar Road Varthur.","45.8 Lac ₹ 2,56,451 Approx. Registration Charges ₹ 20,000 Monthly
See Other Charges","Opp to Sub Registrar Road, Varthur, Bangalore -560087 Karnataka, INDIA., Varthur, Bangalore - East, Karnataka","Opp to Sub Registrar Road , Varthur, Bangalore -560087 Karnataka, INDI",Under Construction,NA,NA,NA
2.30 Cr,4 BHK 2252 Sq-ft Flat,"For Sale Jakkuru Layout, Bangalore",Saud Ahmed,4 See Dimensions,3,3,2252 sqft,"10,213/sqft",No/Rare Powercut,New Property,5 (Out of 20 Floors),2 Covered,Unfurnished,NA,NA,"2.30 Cr ₹ 12,87,999 Approx. Registration Charges ₹ 1 Monthly
See Other Charges","Jakkur, Bangalore, Jakkuru Layout, Bangalore - North, Karnataka","SOBHA HRC PRISTINE, Jakkur. A 4 BHK apartment measuring 2252sft.",Under Construction,NA,NA,NA
39.5 Lac,2 BHK Villa,"for sale in Attibele-Anekal Road, Bangalore",Kala,2 See Dimensions,3,NA,1160 sqft,"3,405/sqft",Less Than 2 Hour Powercut,New Property,"Ceramic Tiles, Granite, Vitrified",1 Covered,Semi-Furnished,NA,"Garden and Skies, is located at Attibelle â?? Anekal Road, Bangalore Urban District. The Project is inspiring in design, stirring in luxury and enveloped by verdant surroundings. Garden and Skies is in troupe with many famous schools, hospitals, shopping destinations, tech parks and every civic amenity required, so that you spend less time on the road and more at home.It is located 18 km way from Electronic City and Sarjapura. The upcoming Domestic TAAL Airport is only 15 kms away from Garden and Skies. Garden and Skies is Attached to the approved 300 feet Ring Road, hence making it a brilliant investment.Garden and Skies, A cozy Community of 3.7 Acres with 103 (2 -BHK) Duplex Townhouses, covered with lush greenery, abundant fresh Air and A Beautiful Club House. bank loan available from SBI,ICICI,HDFC,PNB and all other leading banks. for more details and site visit please call kala","39.5 Lac ₹ 2,21,199 Approx. Registration Charges ₹ 1,500 Monthly
See Other Charges","Attibele-Anekal road, Bangalore, Attibele-Anekal Road, Bangalore, Karnataka","electronic city,ananth nagar,hebbgodi,chandapura,attibele,anekal,hosur",Under Construction,NA,NA,NA
2.15 Cr,4 BHK Residential House - 2250 Sq-ft,,Shalabh Mishra,4,4,NA,2250 sqft,"9,556/sqft",No/Rare Powercut,Resale,1 (Out of 2 Floors),2 Covered,Unfurnished,NA,"Dream Meadows Brookefield 4BHK Triplex Villament for sale with Private Terrace Garden & a seperate Private Terrace
SBA Approx 2200 sft, Terrace Garden 400 Sft, Private Terrace Aprrox 600 sft, 2 or 3 Covered Car Parking Space available per Villament
BBMP â??Aâ?? Khata, Only 04 Villaments built on 4426 sft land hence each Villament comes along with approx 1100 sft of UDS in total land area
Brand New Construction, 2 Borewell in the property Rs 2.15 Crore Negotiable",2.15 Cr,"kundalahalli, ITPL road, Near Ryan International School, Brookefield, Bangalore, Karnataka, Brooke Field, Bangalore - East, Karnataka","Opposite Brookefields Mall, Next to Ryan International School",Under Construction,NA,NA,NA
84.4 Lac,3 BHK 1550 Sq-ft Flat,"For Sale Gunjur, Bangalore",Bablu Kumar Sharma,3 See Dimensions,2,NA,1550 sqft,"5,445/sqft",No/Rare Powercut,New Property,5 (Out of 24 Floors),1 Covered,Unfurnished,NA,NA,"84.4 Lac ₹ 4,72,639 Approx. Registration Charges ₹ 4,000 Monthly
See Other Charges","Gunjur, Gunjur, Bangalore - East, Karnataka","Close to Schools, Hospitals,Shopping Complex, Restaurant etc.",Under Construction,NA,NA,NA
4.32 Cr,4 BHK Villa,"for sale in After The Rain, Yelahanka New Town, Bangalore",S Srinivasa,4,4,2,3184 sqft,"13,567/sqft",No/Rare Powercut,New Property,"Granite, Marble, Marbonite, Mosaic, Normal Tiles/Kotah Stone, Wooden",2 Covered,Semi-Furnished,NA,"After The Rain
By Total Environment

Luxury Ongoing Villas In Yelahanka, North Bangalore
Introducing 202060 Payment Plan
Land Area 56.4 Acres
Saleable Area 3200 5120 sqft
No. Of Rows 14
Units 331 Apartments
Possession Phase 1 May 2020 Phase 2A December 2021
4 BHK Luxury Villas
Starts From â?¹ 4.32 Cr","4.32 Cr ₹ 24,19,199 Approx. Registration Charges
See Other Charges","Off International Airport road, Bettahalsoor, Yelahanka, Bangalore, Yelahanka New Town, Bangalore - North, Karnataka",NA,Under Construction,NA,NA,NA
1.75 Cr,3 BHK 1860 Sq-ft Flat,"For Sale Binnypete, Bangalore",Naush Abid,3,3,2,1860 sqft,"9,409/sqft",NA,New Property,10 (Out of 18 Floors),None,Unfurnished,NA,NA,"1.75 Cr ₹ 9,79,999 Approx. Registration Charges ₹ 5,000 Monthly
See Other Charges","binnypete binnypet, Binnypete, Bangalore - South, Karnataka",Metro and ETA mall,Under Construction,NA,NA,NA
1.04 Cr,3 BHK 1490 Sq-ft Flat,"For Sale Sarjapur Road, Bangalore",Sukhendra,3 See Dimensions,3,NA,1490 sqft,"7,008/sqft",No/Rare Powercut,New Property,6 (Out of 18 Floors),1 Covered,Unfurnished,NA,"Sobha Royal Pavilion super luxury project @ Sarjapur Road Behind RGA Tech Park Next to Decathlon & upcoming Wipro Tech Park. project has with a configuration of 2, 3 & 4 bed apartments.Project near by shopping malls, hospitals, Tech parks, & International schools. this project comes with super luxury apartments with Rajastani architecture.excellent elevation and it looks royal.","1.04 Cr ₹ 5,84,785 Approx. Registration Charges ₹ 60,000 Yearly
See Other Charges","Sarjapur Road, Bangalore, Sarjapur Road, Bangalore - East, Karnataka",Close by RGA Techpark,Under Construction,NA,NA,NA
83.0 Lac,3 BHK 1395 Sq-ft Flat,"For Sale utrahalli, Bangalore",akber,3 See Dimensions,2,NA,1395 sqft,"5,949/sqft",No/Rare Powercut,New Property,10 (Out of 14 Floors),1 Covered,Unfurnished,NA,NA,"83.0 Lac ₹ 4,64,799 Approx. Registration Charges ₹ 3,000 Monthly
See Other Charges","Banashankari, Bangalore, Banashankari, Bangalore - South, Karnataka",near NPS,Under Construction,NA,NA,NA
80.0 Lac,2 BHK 1173 Sq-ft Flat,"For Sale Immadihalli Whitefield, Bangalore",Asif Khan,2,2,2,1173 sqft,"6,820/sqft",NA,New Property,5 (Out of 18 Floors),None,Unfurnished,NA,NA,"80.0 Lac ₹ 4,47,999 Approx. Registration Charges ₹ 3,525 Monthly
See Other Charges","Whitfield, Whitefield, Bangalore - East, Karnataka","Orchid Whitefield in Whitefield, Bangalore East by Goyal and Company",New Construction,NA,NA,NA
1.25 Cr,2 BHK 1300 Sq-ft Flat,"For Sale JP Nagar Phase 6, Bangalore",Nandana Priya,2,2,2,1300 sqft,"9,615/sqft",No/Rare Powercut,New Property,2 (Out of 13 Floors),1 Covered,Unfurnished,NA,"Located at Sarakki Circle, just 100m from JP Nagar Metro, this 3.6 acre of the sprawling residential project has 2.7 acres of open spaces and a clubhouse with an array of lifestyle amenities. Three of its towers are ready for delivery and the last and final tower is now launched. Being located in the most iconic location of South Bengaluru, JP Nagar, Shriram Southern Crest, which offers premium apartments and penthouses, brings you the best of both worlds the old and the new.","1.25 Cr ₹ 6,99,999 Approx. Registration Charges
See Other Charges","JP Nagar Phase 6, Bangalore., JP Nagar Phase 6, Bangalore - South, Karnataka",JP Nagar/Sarakki Metro Station,Under Construction,NA,NA,NA
42.0 Lac,2 BHK 1026 Sq-ft Flat,"For Sale Banjara Layout, Bangalore",Kumar,2 See Dimensions,2,NA,1026 sqft,"4,093/sqft",No/Rare Powercut,New Property,2 (Out of 12 Floors),"1 Covered, 1 Open",Unfurnished,NA,"DSMAX SKYGRAND is a G12 superluxury project located at Kalkere, Bangalore consisting of luxury 2, 3 & 4BHK apartments. This highrise speaks volumes in terms of our uncompromising quality in construction and the efficiency with which it is delivered. The project is located at an ideal neighborhood to ensure a superior rental yield, which in turn results in a promising real estate investment. And, with the trusted brand of DSMAX Properties accompanying it, the property appreciation is tripled in a matter of a few years.","42.0 Lac ₹ 2,35,199 Approx. Registration Charges ₹ 800 Monthly
See Other Charges","Kalkere, Bangalore, Banjara Layout, Bangalore - East, Karnataka","next to National Public School

Prestige International School",Under Construction,NA,NA,NA
1.02 Cr,3 BHK 1580 Sq-ft Flat for Sale in MS Ramaiah North layout,"for sale in MS Ramaiah North layout, Bangalore",Jeeth,3 See Dimensions,3,3,1580 sqft,"6,500/sqft",No/Rare Powercut,New Property,Ground (Out of 4 Floors),"1 Covered, 1 Open",Unfurnished,NA,"AR Constructions flats for sale in task residancy is designed to strike a perfect balance between aesthetics and comfort making it your best choice. It is well ventilated and uses natural light to the maximum making your home a peaceful retreat. Ground 4 floors.BBMP approved project.
Project offers Luxury amenities Such as Generator backup Vasthu Complaint Space for Walkers Intercom Facilities 24 Hours Security 6 Persons capacity Elevators .

Project Details6 Units 3 Floors
Configurations
Apartment 3 BHK","1.02 Cr ₹ 5,75,119 Approx. Registration Charges ₹ 2 Per sq. Unit Monthly
See Other Charges","elements mall ms ramaiah north city layout, MS Ramaiah North layout, Bangalore - North, Karnataka",ms ramaiah north city thanisandra main road nagavara,Under Construction,NA,NA,NA
1.90 Cr,3 BHK 2235 Sq-ft Flat,"For Sale Banashankari, Bangalore",golden bricks properties,3 See Dimensions,3,NA,2235 sqft,"8,501/sqft",No/Rare Powercut,Resale,11 (Out of 22 Floors),2 Covered,Unfurnished,NA,"A 3 BHK flat in Padmanabhanagar, Bangalore South is available for sale. This ready to move property is 01 year old. This is an Unfurnished flat.
It has 3 bathrooms.

It has a single balcony.
This flat has a super built up area of 2235 Sq. Ft.
It has marble flooring. This parkgarden, main road, club and pool overlooking flat is on the 10th floor of 20 floors. This is a corner property with 80 feet facing road. It also has a Servant Room. The flat is FengShuiVaastu Compliant. It is equipped with certain features such as pipedgas and private gardenterrace. The society offers amenities su","1.90 Cr ₹ 10,64,000 Approx. Registration Charges
See Other Charges","Banashankari, Bangalore, Banashankari, Bangalore - South, Karnataka",Uttarahalli Main Road.,Under Construction,NA,NA,NA
46.0 Lac,2 BHK 1095 Sq-ft Flat,"For Sale Begur Road, Bangalore",Harish,2 See Dimensions,2,2,1095 sqft,"4,200/sqft",No/Rare Powercut,New Property,1 (Out of 3 Floors),1 Covered,Unfurnished,NA,"1095 Square feet 2 BHK North Facing flat for sale in Sai Krupa Apartment. Sai Krupa is a 2 & 3 BHK Luxury Flats located in Begur Main Road. Sai Krupa is a BBMP Approved A Katha Project with Rera, Commencement certificate and occupancy Certificate. Sai Krupa is total of 68, 2 & 3 BHK Luxury units. Sai Krupa project is Developed By Shree Sai Developers and Promoted By Lavish Spaces.","46.0 Lac ₹ 2,57,543 Approx. Registration Charges ₹ 1,500 Monthly
See Other Charges","Begur, Bangalore, Begur Road, Bangalore - South, Karnataka",This Property is Close to Royal Meenakshi mall & dlf Apartments Begur,Under Construction,NA,NA,NA
50.0 Lac,2 BHK 1430 Sq-ft Flat for Sale in Devanahalli,"for sale in Devanahalli, Bangalore",Sumanth,2 See Dimensions,2,NA,1430 sqft,"3,499/sqft",No/Rare Powercut,New Property,4 (Out of 4 Floors),"1 Covered, 1 Open",Unfurnished,4,"Itâ??s a 2BHK Flat

BIAAPA Approved, A-Khatha Property
RERA Project with CC Received
Possession on April 2022
100% Vastu, No common walls,
All documents are clear titled, no financial liabilities; every paper is up to date, clear titles and tax paid.
Both car and bike parking available
Club House, Swimming Pool, Party Hall, Gym, Power Backup, Childrenâ??s Play Area, Gas Pipeline, RO water system, sewage system.
For any further clarifications we are just a phone away. Thanking you.","50.0 Lac ₹ 2,80,199 Approx. Registration Charges ₹ 1,500 Monthly
See Other Charges","Devanahalli, Southegowdanahalli, Karnataka 562110, India, Devanahalli, Bangalore - North, Karnataka",It is very near to Bangalore International Airport.,Under Construction,NA,NA,NA
76.5 Lac,3 BHK 1550 Sq-ft Flat,"For Sale Belathur kadugodi, Bangalore",SHRUTHI,3 See Dimensions,3,2,1550 sqft,"4,934/sqft",No/Rare Powercut,New Property,,1 Covered,Unfurnished,NA,NA,"76.5 Lac ₹ 4,28,231 Approx. Registration Charges ₹ 6,200 Monthly
See Other Charges","Whitefield, Bangalore, Whitefield, Bangalore - East, Karnataka","300Mtr. Mount Litera Zee School East,
. 450Mtr National Public School",Under Construction,NA,NA,NA
5.50 Cr,3 BHK 2446 Sq-ft Flat,"For Sale prestige four seasons, Bangalore",Jacob Augustine,3,4,2,2446 sqft,"22,486/sqft",Ready to Move,Resale,Ground (Out of 7 Floors),None,NA,NA,NA,"5.50 Cr ₹ 30,79,999 Approx. Registration Charges
See Other Charges","Brunton Road, Mahatma Gandhi Road, Bangalore - Central, Karnataka",NA,15 to 20 years,NA,NA,NA
62.0 Lac,2 BHK 1089 Sq-ft Flat,"For Sale Devanahalli, Bangalore",Fahad Khan,2,2,NA,1089 sqft,"5,693/sqft",NA,New Property,4 (Out of 14 Floors),1 Covered,Unfurnished,NA,NA,"62.0 Lac ₹ 3,47,199 Approx. Registration Charges ₹ 3 Per sq. Unit Monthly
See Other Charges","Devanahalli, Bangalore, Devanahalli, Bangalore - North, Karnataka","32 Community parks, 5.5 acres of man made lake, Lake side promenade",Under Construction,NA,NA,NA
60.0 Lac,2 BHK 1205 Sq-ft Flat,"For Sale Devanahalli, Bangalore",Asset India,2,2,NA,1205 sqft,"4,979/sqft",NA,Resale,2 (Out of 15 Floors),None,Unfurnished,NA,NA,"60.0 Lac ₹ 3,35,999 Approx. Registration Charges
See Other Charges","ozone Urbana Avenue, Devanahalli, Bangalore - North, Karnataka",Bangalore International airport,Under Construction,NA,NA,NA
32.0 Lac,2 BHK 967 Sq-ft Flat,"For Sale Electronics City Phase 1, Bangalore",Ram,2 See Dimensions,2,2,967 sqft,"3,309/sqft",No/Rare Powercut,New Property,2 (Out of 13 Floors),1 Covered,Unfurnished,NA,NA,"32.0 Lac ₹ 1,79,199 Approx. Registration Charges ₹ 1,000 Monthly
See Other Charges","Electronic city phase 1, Electronics City Phase 1, Bangalore - South, Karnataka",SKF factory,Under Construction,NA,NA,NA
1.04 Cr,3 BHK 1728 Sq-ft Flat,"For Sale Begur Road, Bangalore",Vivek Sharma,3,3,2,1728 sqft,"6,018/sqft",No/Rare Powercut,New Property,10 (Out of 17 Floors),1 Covered,Semi-Furnished,NA,NA,"1.04 Cr ₹ 5,82,399 Approx. Registration Charges
See Other Charges","Begur Road, Bangalore, Begur Road, Bangalore - South, Karnataka",NA,Under Construction,NA,NA,NA
3.25 Cr,3 BHK 2011 Sq-ft Flat for Sale in D Costa Layout,"for sale in D Costa Layout, Bangalore",Saad Zahid,3 See Dimensions,3,NA,2011 sqft,"16,161/sqft",Less Than 2 Hour Powercut,New Property,3 (Out of 3 Floors),1 Covered,Unfurnished,NA,"one of the most premium residences in D costa layout, with the best finishing and planning. Beautiful trees that have been preserved continue to live in the property.
marble flooring, kohler fittings, all the aspects of luxury living. once in a life time opportunity to live in this side of town along with such the best the construction world has to offer.","3.25 Cr ₹ 18,19,999 Approx. Registration Charges ₹ 5,000 Monthly
See Other Charges","Tf -01., D Costa Layout, Bangalore - Central, Karnataka","ITC Infotech, Milton Park, D Costa layout.",Under Construction,NA,NA,NA
58.0 Lac,2 BHK Builder Floor,"for sale in Jayani Paradise, Garudachar Palya, Bangalore",Robin,2 See Dimensions,2,2,1054 sqft,"5,500/sqft",No/Rare Powercut,New Property,"2 BHK Builder Floor
for sale in Jayani Paradise, Garudachar Palya, Bangalore",1 Covered,Unfurnished,NA,"Spread in 2.34 acres, this project is scheduled for possession in 2020.
The presence of IT companies such as IBM, TCS, SAP and HCL in the vicinity enhances the value proposition of the area as numerous employees of these companies look for housing in the nearby projects. For that matter, buying property in Mahadevapura will always make for a sound investment decision too.The project is developed by Jayani Builders and Developers, having a long standing reputation of delivering qualitative residential real estate projects. Paradise, being the flagship project,","58.0 Lac ₹ 3,24,631 Approx. Registration Charges ₹ 2,000 Monthly
See Other Charges","Sy No 49/1, B.Chikkanna Layout, Mahadevapura, Mahadevapura, Garudachar Palya, Bangalore - East, Karnataka",its very close to outer ring road and Phonix mall,Under Construction,NA,NA,NA
60.0 Lac,3 BHK 1191 Sq-ft Flat,"For Sale Syndicate Bank layout, Bangalore","Agent
Divya Mahendra",3 See Dimensions,2,NA,1191 sqft,"5,037/sqft",Ready to Move,New Property,1 (Out of 1 Floors),1 Covered,NA,NA,"The Tree by Provident is an effort by Provident Housing to restore the green cover in a part of SouthWest Bangalore. Set amidst 6 acres of land in Herohalli Off Magadi Road, the project offers 560 premium homes
The Tree is close to Tumkur Road and the Outer Ring Road and is within close proximity to the prominent neighbourhoods of Malleswaram and Rajajinagar.","60.0 Lac ₹ 3,35,999 Approx. Registration Charges ₹ 3,394 Monthly
See Other Charges","Magadi Road, Bangalore, Syndicate Bank layout, Bangalore - West, Karnataka","7 kms from the Peenya Industrial area
MG Road18 Kms",New Construction,NA,NA,NA
85.0 Lac,3 BHK 1666 Sq-ft Flat for Sale in Devarachikannahalli,"for sale in Devarachikannahalli, Bangalore",Inayath Sharief,3 See Dimensions,3,2,1666 sqft,"5,102/sqft",Ready to Move,Resale,8 (Out of 13 Floors),1 Covered,Unfurnished,2,"This is a meticulously designed 3 bhk resale apartment located in bannerghatta road, bangalore south. It is a freehold property. The flat is a spacious property and is ready to move in. Located in an integrated society of snn raj serenity, it has 3 bathroom(S) and 2 balcony(S). This is a feng shui/vaastu compliant property and has vitrified flooring. It is a west facing property which offers a wonderful view of park/garden, main road and pool. It is a 1-5 year old property, located on the 8th floor. Full power back up. The unit is located in a gated society. The property offers specifications","85.0 Lac ₹ 4,75,999 Approx. Registration Charges
See Other Charges","Begur Main Road, Off Bannerghatta Road, Bangalore, Devarachikannahalli, Bangalore - South, Karnataka","Ths property is close to super markets,Hotels,Schools,ATM,Bank,bus sto",Less than 5 years,NA,NA,NA
